0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
% de Formalizacion ,1,0.5,0.7142857142857143,0.7857142857142857,0.375,0.46153846153846156,0.5666666666666667,0.47368421052631576,0.2692307692307692,0.45161290322580644,0.56,0.4358974358974359,0.6333333333333333,0.4444444444444444,0.6451612903225806,0.4857142857142857,0.475,0.5434782608695652,0.5121951219512195,0.48148148148148145,0.5813953488372093,0.49019607843137253,0.4897959183673469,0.45161290322580644,0.5675675675675675,0.4594594594594595,0.43902439024390244,0.38095238095238093,0.4318181818181818,0.37142857142857144,0.3333333333333333,0.4883720930232558,0.5188470066518847,0.4527363184079602,0.0
% de Formalizacion ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
N.º de solicitudes ingresadas por financiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
N.º de solicitudes ingresadas por financiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Financiera,0,0,0,0,0,0,0,0,51,81,76,103,83,76,90,59,76,97,104,99,127,136,118,111,113,83,85,74,95,82,32,TOTAL ,% PARTICIPACION,0,0.0
Financiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0632452047693104,0,0.0
ABC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,0,0,0,0,0,0,0,0,0,0,1,0.0005184033177812338,0,0.0
Afirme,-,-,-,-,-,-,-,-,18,23,37,42,-,-,-,-,-,0,1,-,-,0,0,0,0,0,0,0,0,0,0,121,0.06272680145152928,0,0.0
Banorte,-,-,-,-,-,-,-,-,1,1,2,4,31,41,31,16,44,47,58,48,62,74,50,69,53,33,33,33,34,15,10,790,0.4095386210471747,0,0.0
BBVA,-,-,-,-,-,-,-,-,12,25,10,14,4,7,3,3,9,3,6,2,6,10,16,6,7,10,12,7,11,16,3,202,0.10471747019180923,0,0.0
Ensueño,-,-,-,-,-,-,-,-,-,-,-,-,13,7,7,1,4,6,3,9,11,3,18,22,9,4,3,1,8,8,7,144,0.07465007776049767,0,0.0
FinanMadrid,-,-,-,-,-,-,-,-,0,1,0,0,0,1,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,2,0.0010368066355624676,0,0.0
INBURSA,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
MSTART,-,-,-,-,-,-,-,-,-,-,-,-,-,4,9,10,8,10,10,6,14,11,15,3,12,12,9,5,11,6,1,156,0.08087091757387248,0,0.0
Nexu,-,-,-,-,-,-,-,-,19,31,27,42,-,-,-,-,-,0,4,1,5,4,1,0,1,0,0,0,0,0,0,135,0.06998444790046657,0,0.0
Santander,-,-,-,-,-,-,-,-,1,-,-,1,35,13,40,29,9,30,22,31,27,32,16,11,26,18,25,21,18,30,7,442,0.22913426645930535,0,0.0
Scotiabank,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,0,2,0,0,2,2,2,2,0,3,2,1,3,9,6,4,41,0.021254536029030584,0,0.0
Sumafin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,4,1,0,0,0,0,7,0.0036288232244686366,0,0.0
Bajio ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0005184033177812338,0,0.0
Kuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,9,0.004665629860031105,0,0.0
Kuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Motivos de SDC No autorizadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Motivos de SDC No autorizadas,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total,0,0,0.0
Mal Buro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,17,27,31,40,54,26,27,33,19,15,12,12,22,0,311,0,0,0.0
Score bajo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,8,6,4,7,5,3,10,4,10,4,0,66,0,0,0.0
Capacidad de pago ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,4,0,0,2,3,0,6,6,0,17,0,0,0.0
Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,1,1,0,7,0,0,0.0
Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Motivos de SDC No formaliadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Motivos de SDC No formaliadas,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 25","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo,26","Junio, 26","Julio,26",Total,0,0,0.0
Compra en otro lado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,5,5,10,6,0,4,1,1,2,2,2,0,44,0,0,0.0
Falta importe para enganche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,3,1,2,0,6,0,0,0.0
Espera comprar en futuro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,8,4,3,9,6,4,10,1,7,0,41,0,0,0.0
Otros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,4,5,0,3,0,5,11,3,9,5,0,41,0,0,0.0
