0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34
Plazas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plazas ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leads ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Efectivos ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDC ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,16.0,27.0,19.0,23.0,35.0,36.0,25.0,44.0,38.0,31.0,34.0,23.0,25.0,26.0,12.0,18.0,16.0,3.0,0.0,0.0,0.0
PDM ,0.0,0.0,0.0,0.0,0.0,6.0,17.0,8.0,5.0,19.0,14.0,22.0,28.0,20.0,23.0,23.0,44.0,37.0,30.0,41.0,43.0,33.0,18.0,15.0,39.0,35.0,30.0,31.0,41.0,12.0,0.0,0.0,0.0
Citas Programadas ,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,13.0,20.0,40.0,53.0,48.0,35.0,52.0,29.0,0.0,77.0,67.0,74.0,77.0,60.0,46.0,23.0,0.0,70.0,41.0,68.0,0.0,26.0,0.0,0.0,0.0
Citas Efectivas ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14153846153846153,0.07931034482758621,0.24249422632794457,0.1745635910224439,0.1168091168091168,0.19318181818181818,0.24813895781637718,0.1793103448275862,0.0,0.0,0.0
Citas Efectivas ,0.0,0.0,0.0,0.0,2.0,8.0,18.0,4.0,6.0,10.0,19.0,35.0,36.0,28.0,25.0,27.0,61.0,51.0,44.0,52.0,48.0,32.0,41.0,19.0,82.0,55.0,31.0,49.0,59.0,15.0,0.0,0.0,0.0
Ventas ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06551724137931035,0.18937644341801385,0.1371571072319202,0.08831908831908832,0.13920454545454544,0.14640198511166252,0.0,0.0,0.0,0.0
